200 978
96 156 49.6775
96 186 49.434
97 186 3.9965
98 186 5.025
99 105 49.6535
99 136 49.9775
99 156 49.9935
99 186 49.714
100 186 49.8715
101 186 3.468
102 105 3.639
104 186 8.437
105 122 49.744
105 124 5.4155
105 126 49.3075
105 130 49.321
105 142 49.5575
105 145 49.5265
105 153 49.202
105 155 5.819
105 159 49.55
105 166 49.6125
105 171 49.5125
105 179 49.878
105 181 5.212
105 182 4.4725
105 183 5.2335
105 197 49.9555
106 186 5.093
107 111 49.963
107 116 49.7035
107 129 49.7935
107 130 49.991
107 160 49.9195
107 162 49.5155
107 174 49.871
107 185 49.4305
107 186 48.2655
107 188 49.708
108 186 4.626
110 186 7.944
111 136 49.3905
111 147 49.885
111 156 49.495
111 157 49.8355
111 170 49.96
111 178 49.9715
111 184 49.762
111 186 49.0885
112 186 5.8145
113 179 7.319
114 186 3.556
115 186 5.9995
116 128 49.967
116 147 49.9455
116 156 49.2275
116 157 49.7525
116 170 49.9015
116 178 49.7855
116 184 49.573
116 185 49.849
116 186 48.709
117 186 5.5345
118 186 4.517
119 121 39.1225
119 176 41.6225
120 132 4.1065
121 176 34.1225
122 136 49.845
122 156 49.993
122 186 49.4735
123 186 3.7555
125 186 5.115
126 132 49.862
126 136 49.2855
126 156 49.474
126 157 49.8835
126 184 49.7055
126 186 49.0925
127 186 3.9465
128 129 49.826
128 160 49.9685
128 162 49.745
128 174 49.841
128 185 49.5
128 186 48.3445
128 188 49.63
129 162 49.896
129 170 49.753
129 178 49.735
129 184 49.5035
129 185 49.8595
129 186 48.6985
130 132 49.815
130 136 49.473
130 156 49.559
130 157 49.954
130 184 49.932
130 186 49.132
131 186 3.583
132 140 8.415
132 142 49.9575
132 145 49.9315
132 153 49.8445
132 159 49.75
132 179 49.818
132 190 4.916
132 193 7.837
132 194 49.7845
133 186 4.526
134 186 5.674
135 186 4.284
136 142 49.7305
136 145 49.6235
136 153 49.3835
136 159 49.656
136 166 49.727
136 171 49.529
136 194 49.5415
137 161 8.386
137 186 5.4265
138 186 7.686
142 156 49.7555
142 186 49.405
143 186 5.4655
144 176 29.1225
145 156 49.67
145 186 49.227
146 186 3.711
147 160 49.9055
147 162 49.712
147 174 49.947
149 160 8.4825
150 186 6.861
151 186 3.732
152 186 5.9395
153 156 49.3395
153 170 49.9975
153 184 49.9345
153 186 49.0315
154 186 8.3715
156 159 49.7075
156 166 49.7355
156 171 49.7005
156 179 49.859
156 194 49.5965
157 188 49.565
157 194 49.9825
159 184 49.8745
159 186 49.3495
160 186 48.771
162 170 49.49
162 174 49.98
162 188 49.7435
162 198 7.867
163 186 4.3195
164 186 4.2635
166 186 49.352
167 186 4.1685
168 186 5.6695
169 186 4.6555
170 174 49.758
170 188 49.741
171 186 49.146
172 186 5.768
173 186 5.954
174 188 49.935
175 186 5.3295
177 186 4.703
178 188 49.668
179 186 49.735
179 199 6.021
180 186 5.093
184 191 7.6805
185 188 49.7615
186 187 4.203
186 189 6.432
186 192 4.423
186 194 49.216
186 195 3.645
186 196 6.2405
186 197 49.948
